,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Max Clustering
Avant-Garde,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.3076923076923077
Blues,3.0,3.0,21.0,1.0,4.0,5.0,6.0,0.0,2.0,1.0,19.0,29.0,2.0,1.0,2.0,0.0,2.0,1.0,0.28431372549019607
Classical,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,1.0,2.0,0.0,0.0,0.39285714285714285
Comedy/Spoken,4.0,0.0,6.0,0.0,0.0,1.0,1.0,25.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5434782608695652
Country,6.0,42.0,34.0,34.0,12.0,14.0,3.0,1.0,0.0,0.0,40.0,118.0,12.0,0.0,4.0,1.0,41.0,45.0,0.28992628992628994
Easy Listening,0.0,1.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.391304347826087
Electronic,10.0,6.0,1.0,16.0,5.0,5.0,38.0,0.0,16.0,7.0,11.0,0.0,0.0,11.0,44.0,0.0,9.0,33.0,0.20754716981132076
Folk,3.0,15.0,49.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,13.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5157894736842106
International,2.0,12.0,9.0,1.0,3.0,2.0,5.0,0.0,3.0,7.0,6.0,10.0,6.0,6.0,3.0,1.0,2.0,6.0,0.14285714285714285
Jazz,7.0,22.0,49.0,2.0,120.0,2.0,29.0,1.0,3.0,54.0,15.0,11.0,11.0,44.0,27.0,1.0,2.0,10.0,0.2926829268292683
Latin,2.0,27.0,12.0,15.0,11.0,1.0,39.0,0.0,1.0,1.0,27.0,30.0,9.0,2.0,3.0,0.0,5.0,44.0,0.19213973799126638
New Age,1.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.5263157894736842
Pop/Rock,84.0,285.0,45.0,401.0,17.0,188.0,142.0,1.0,182.0,26.0,235.0,178.0,98.0,27.0,151.0,8.0,482.0,280.0,0.17031802120141343
R&B;,11.0,53.0,19.0,25.0,2.0,17.0,169.0,1.0,11.0,3.0,113.0,90.0,16.0,1.0,3.0,0.0,17.0,130.0,0.24816446402349487
Reggae,0.0,1.0,2.0,0.0,2.0,4.0,35.0,1.0,3.0,0.0,30.0,10.0,3.0,0.0,3.0,0.0,0.0,50.0,0.3472222222222222
Religious,13.0,24.0,3.0,7.0,0.0,3.0,1.0,0.0,4.0,7.0,5.0,6.0,2.0,1.0,0.0,0.0,9.0,5.0,0.26666666666666666
Stage & Screen,0.0,5.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0,0.0,0.0,0.0,0.5686274509803921
Vocal,6.0,22.0,95.0,0.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,12.0,6.0,1.0,0.0,4.0,0.0,0.0,0.5828220858895705
